caption,likes,comments,saves,shares,reach,impressions,watch_time,followers,hashtags,timestamp,content_type,topic,posting_hour,day_of_week,posting_time,engagement_score,estimated_likes_uplift,estimated_reach_uplift,post_description
The immersive simplicity of studying is the point ✏️,279,33,34,56,2069,3389,2.4,58086,#student #academia #studying #universitylife,2025-01-09 02:04:12,carousel,study,2,Thursday,night,754.12,-94.57,-95.53,immersive simplicity studying point student academia
This consistent studying life is everything ✏️,1544,153,888,110,20051,38905,13.05,99999,#academia #studyblr #onlinelearning #lifelonglearner,2025-12-03 12:01:39,carousel,study,12,Wednesday,afternoon,6707.7,-69.93,-56.67,this consistent studying life everything academia
The ambitious studying game is long and i am in ✏️,4424,427,2315,314,13278,32334,29.5,31797,#knowledge #studysession #academia #learning,2025-09-10 22:18:58,reel,study,22,Wednesday,night,13944.92,-13.85,-71.31,ambitious studying game long knowledge studysession
The efficient studying community lifted me up 🧠,17025,2339,9078,3842,165461,513397,29.12,49611,#examseason #studywithme #studytips #studymotivation,2025-11-16 19:29:43,image,study,19,Sunday,evening,79459.96,231.52,257.52,efficient studying community lifted examseason studywithme
The active studying version of a perfect day 📚,3489,151,766,546,49415,126171,12.37,79858,#studygram #onlinelearning #lifelonglearner #studylife,2025-11-25 22:48:19,reel,study,22,Tuesday,night,13680.88,-32.06,6.77,active studying version perfect studygram onlinelearning
The annotated studying process is as good as the result 🧠,1440,256,787,219,17071,37215,20.85,99999,#academia #bookworm #studysession #onlinelearning,2025-10-30 13:49:36,carousel,study,13,Thursday,afternoon,6428.0,-71.96,-63.11,annotated studying process good result academia
Nothing like intense studying to reset 🎓,5957,594,1959,1316,23543,38352,14.2,34451,#academia #universitylife #studyblr #examprep,2025-09-22 20:23:59,reel,study,20,Monday,evening,18109.71,16.0,-49.13,nothing like intense studying reset academia
The focused studying aesthetic i live for 📚,1774,113,505,446,17958,62084,8.9,24562,#studentlife #education #bookworm #studygroup,2025-03-01 03:39:52,reel,study,3,Saturday,night,7387.42,-65.46,-61.2,focused studying aesthetic live studentlife education
The intense studying habit that changed my life ✏️,4312,551,1002,534,50469,101478,10.73,44454,#studybreak #lifelonglearner #student #studytips,2025-08-12 19:43:49,reel,study,19,Tuesday,evening,14487.79,-16.03,9.05,intense studying habit that changed studybreak
Sharp studying keeps me centered always 🎓,4338,204,861,528,48518,154606,8.95,19226,#learningeveryday #studyblr #onlinelearning #student,2025-02-07 13:03:48,reel,study,13,Friday,afternoon,15569.079999999998,-15.53,4.84,sharp studying keeps centered always learningeveryday
Dedicated studying taught me more than school 🎓,1589,176,576,331,19721,46871,23.47,28562,#studygram #studysession #knowledge #studytime,2025-06-24 18:05:16,image,study,18,Tuesday,evening,6702.18,-69.06,-57.39,dedicated studying taught more than studygram
Deliberate studying and i never felt more like myself 📚,5386,804,888,483,30272,90930,29.18,35207,#studyblr #studytips #studybreak #student,2025-08-19 06:45:04,carousel,study,6,Tuesday,morning,13740.5,4.88,-34.59,deliberate studying never felt more studyblr
The exam-ready studying identity i grew into ✏️,5241,382,2114,686,62272,178433,8.72,36563,#studyaccount #studytips #examseason #studentlife,2025-06-06 06:17:40,reel,study,6,Friday,morning,22107.59,2.06,34.56,exam ready studying identity grew studyaccount
Comprehensive studying and zero regrets ✏️,19776,3026,10075,5039,252663,806471,20.59,50431,#studyhard #studyaccount #studygroup #studysession,2025-09-06 17:11:54,image,study,17,Saturday,evening,101945.28,285.09,445.95,comprehensive studying zero regrets studyhard studyaccount
Systematic studying and i cannot be stopped 🧠,8946,759,2684,1717,73777,170492,2.4,46057,#bookworm #studygroup #studytime #education,2025-11-19 06:16:11,image,study,6,Wednesday,morning,30952.61,74.2,59.42,systematic studying cannot stopped bookworm studygroup
Grateful for strategic studying moments 📚,9022,731,4823,571,76534,249946,20.86,32043,#examprep #studygram #study #learning,2025-01-19 06:03:58,carousel,study,6,Sunday,morning,36529.08,75.68,65.37,grateful strategic studying moments examprep studygram
The serious studying chapter of my life 📚,2834,556,788,634,36193,112620,21.53,37957,#lifelonglearner #bookworm #studyaccount #studylife,2025-05-04 09:37:04,carousel,study,9,Sunday,morning,12288.25,-44.81,-21.79,serious studying chapter life lifelonglearner bookworm
Sharp studying and grateful for it 📚,19776,1590,8706,4924,159886,274755,25.65,25495,#studysession #studybreak #studytime #studytips,2025-12-12 05:19:18,image,study,5,Friday,morning,76902.95,285.09,245.48,sharp studying grateful studysession studybreak studytime
The active simplicity of studying is the point ✏️,19776,2801,6932,1658,119463,417761,17.65,23020,#student #knowledge #lifelonglearner #studyhard,2025-12-04 15:32:40,carousel,study,15,Thursday,afternoon,64051.98,285.09,158.13,active simplicity studying point student knowledge
The efficient studying version of me shows up daily 🎓,7209,301,4276,831,106535,160102,17.56,34821,#studying #examprep #learningeveryday #studysession,2025-06-25 04:26:03,reel,study,4,Wednesday,night,32659.81,40.38,130.2,efficient studying version shows daily examprep
Dedicated studying is the answer always 🧠,4047,182,2251,895,25289,54826,6.09,44624,#bookworm #student #studytips #studygroup,2025-09-28 13:11:01,reel,study,13,Sunday,afternoon,16394.23,-21.19,-45.36,dedicated studying answer always bookworm student
Chasing dedicated studying endlessly 📚,1100,126,409,278,16284,49424,26.11,51255,#studentlife #studybreak #studymotivation #studywithme,2025-12-17 22:23:50,image,study,22,Wednesday,night,5457.92,-78.58,-64.81,chasing dedicated studying endlessly studentlife studybreak
The knowledge-driven magic of studying every time 📚,1807,52,952,208,16167,37113,10.52,67121,#studylife #studysession #academia #study,2025-10-03 19:07:50,carousel,study,19,Friday,evening,7208.74,-64.81,-65.07,knowledge driven magic studying every studylife
Obsessed with efficient studying always 📚,891,80,120,82,12674,33564,24.1,63567,#examprep #education #studygroup #learningeveryday,2025-10-30 03:39:13,image,study,3,Thursday,night,3137.62,-82.65,-72.61,obsessed with efficient studying always examprep
The disciplined studying high is legal and free 📚,8407,395,999,2033,88451,157759,4.68,46187,#knowledge #studytime #studygoals #studentlife,2025-12-05 23:21:23,reel,study,23,Friday,night,26658.32,63.71,91.12,disciplined studying high legal free knowledge
Loving every laser-focused studying second 📚,609,52,99,145,4089,9153,9.82,99999,#studylife #study #bookworm #learningeveryday,2025-01-04 20:00:17,carousel,study,20,Saturday,evening,1820.04,-88.14,-91.16,loving every laser focused studying studylife
The disciplined studying journey is the destination 📚,5220,783,2698,634,24797,84280,7.05,32971,#studentlife #student #studyaccount #learning,2025-03-03 04:14:06,reel,study,4,Monday,night,18984.25,1.65,-46.42,disciplined studying journey destination studentlife student
The timed way studying makes me feel 📚,5391,590,1815,954,37913,63515,2.69,19504,#studytips #student #academia #studyhard,2025-12-31 09:31:47,reel,study,9,Wednesday,morning,17499.1,4.98,-18.08,timed studying makes feel studytips student
Disciplined studying and i am at peace 🎓,12229,2127,3358,1128,181740,556319,6.64,99999,#academia #learningeveryday #study #studymotivation,2025-05-21 03:20:05,reel,study,3,Wednesday,night,51463.57,138.13,292.7,disciplined studying peace academia learningeveryday study
The dedicated simplicity of studying is the point ✏️,8013,546,1760,826,27929,81683,8.81,28234,#studywithme #studyhard #learning #researchlife,2025-05-06 16:12:06,carousel,study,16,Tuesday,afternoon,19617.94,56.03,-39.65,dedicated simplicity studying point studywithme studyhard
Pomodoro-powered studying on a ✏️ kind of day,273,45,123,35,2068,3767,24.77,99999,#collegelife #academia #knowledge #studywithme,2025-01-30 09:17:04,image,study,9,Thursday,morning,963.41,-94.68,-95.53,pomodoro powered studying kind collegelife academia
The methodical studying community is unmatched 🧠,2497,466,757,202,25964,43063,24.63,39525,#studyaccount #studymotivation #bookworm #education,2025-04-03 12:12:05,image,study,12,Thursday,afternoon,7964.09,-51.38,-43.9,methodical studying community unmatched studyaccount studymotivation
Pomodoro-powered studying keeps me centered always 🎓,12063,1376,3392,1747,168191,588425,13.22,35429,#student #examseason #studyblr #bookworm,2025-03-20 05:29:16,reel,study,5,Thursday,morning,53542.3,134.9,263.42,pomodoro powered studying keeps centered student
This efficient studying setup is everything ✏️,7441,644,3019,389,89961,179322,16.02,49664,#education #universitylife #examprep #study,2025-12-01 08:05:15,carousel,study,8,Monday,morning,27542.71,44.89,94.39,this efficient studying setup everything education
Outcome-oriented studying every morning sets the tone 🎓,4009,689,2247,1167,48481,81107,19.89,99999,#academia #education #bookworm #studyaccount,2025-11-08 04:46:57,reel,study,4,Saturday,night,19108.26,-21.93,4.76,outcome oriented studying every morning academia
This timed studying session was different 📚,1657,257,373,490,17364,55362,23.28,35625,#onlinelearning #study #bookworm #academia,2025-02-11 11:04:06,carousel,study,11,Tuesday,morning,6775.06,-67.73,-62.48,this timed studying session different onlinelearning
The structured studying habit that changed my life ✏️,2338,363,657,166,9033,24507,3.22,25296,#studentlife #researchlife #studying #lifelonglearner,2025-03-18 19:45:33,reel,study,19,Tuesday,evening,5993.860000000001,-54.47,-80.48,structured studying habit that changed studentlife
This knowledge-driven studying life is everything ✏️,9170,877,1115,2705,118097,250089,16.74,76263,#studyaccount #lifelonglearner #study #collegelife,2025-07-27 23:28:22,reel,study,23,Sunday,night,34037.520000000004,78.56,155.18,this knowledge driven studying life studyaccount
This focused studying life is everything ✏️,2947,304,847,366,34143,107565,15.76,29488,#learning #examseason #academia #studysession,2025-10-04 04:27:48,carousel,study,4,Saturday,night,11520.1,-42.61,-26.22,this focused studying life everything learning
The strategic studying version of a perfect day 📚,110,7,49,30,1466,2301,9.23,30991,#examseason #studytips #lifelonglearner #researchlife,2025-05-16 08:12:02,carousel,study,8,Friday,morning,489.33,-97.86,-96.83,strategic studying version perfect examseason studytips
Evidence-based studying hours are my best hours ✏️,2258,101,1007,273,32492,109654,21.93,17248,#researchlife #studyhard #examprep #knowledge,2025-07-10 14:22:41,reel,study,14,Thursday,afternoon,11012.22,-56.03,-29.79,evidence based studying hours best researchlife
The outcome-oriented studying identity i grew into ✏️,19776,1248,4551,3653,259099,526036,21.44,61607,#bookworm #study #studybreak #studymotivation,2025-06-23 00:27:06,reel,study,0,Monday,night,73124.03,285.09,459.86,outcome oriented studying identity grew bookworm
The active studying momentum is building 📚,5729,1072,711,290,84923,265426,6.29,45138,#universitylife #learningeveryday #education #studying,2025-01-01 22:04:32,reel,study,22,Wednesday,night,20940.93,11.56,83.5,active studying momentum building universitylife learningeveryday
My active studying ritual is non-negotiable ✏️,7223,1165,4204,462,104703,226374,28.08,41544,#studyhard #studygroup #studygram #study,2025-05-27 07:30:21,image,study,7,Tuesday,morning,33247.37,40.65,126.24,active studying ritual negotiable studyhard studygroup
Another annotated studying moment 📚,2454,175,1314,185,8438,29295,25.03,99999,#study #studybreak #academia #examprep,2025-06-22 15:47:20,image,study,15,Sunday,afternoon,8251.75,-52.21,-81.77,another annotated studying moment study studybreak
Another strategic studying moment 📚,11132,894,2963,1413,117025,320806,18.37,48726,#learningeveryday #researchlife #studyaccount #studentlife,2025-05-18 11:45:39,image,study,11,Sunday,morning,39735.43,116.77,152.86,another strategic studying moment learningeveryday researchlife
Focused studying and i cannot be stopped 🧠,19776,604,6490,1620,186964,444095,6.71,46858,#learning #universitylife #study #studygroup,2025-02-19 21:46:18,reel,study,21,Wednesday,evening,66777.05,285.09,303.99,focused studying cannot stopped learning universitylife
Sharp studying on a ✏️ kind of day,1624,144,196,461,17078,40888,23.16,52566,#studylife #collegelife #studytime #studyhard,2025-05-03 20:10:01,carousel,study,20,Saturday,evening,5675.54,-68.38,-63.1,sharp studying kind studylife collegelife studytime
Immersive studying and zero regrets ✏️,4277,234,954,800,24176,67607,6.72,25442,#studygroup #examseason #studying #studywithme,2025-02-03 06:06:38,carousel,study,6,Monday,morning,12776.01,-16.72,-47.76,immersive studying zero regrets studygroup examseason
Active studying on a ✏️ kind of day,5350,888,2069,901,49939,107239,12.47,99999,#examprep #studybreak #studyblr #studygroup,2025-11-10 18:45:18,carousel,study,18,Monday,evening,19974.120000000003,4.18,7.91,active studying kind examprep studybreak studyblr
Methodical studying is the constant in my chaos 📚,9321,343,2701,2430,48297,139217,19.45,70631,#studygram #studylife #examprep #studyhard,2025-11-08 19:26:18,reel,study,19,Saturday,evening,31305.36,81.5,4.36,methodical studying constant chaos studygram studylife
Strategic studying is the investment worth making 📚,5305,333,1876,588,29340,102094,25.43,28316,#studyhard #studygram #studyaccount #studentlife,2025-08-30 12:46:55,image,study,12,Saturday,afternoon,17226.82,3.3,-36.6,strategic studying investment worth making studyhard
Disciplined studying and grateful for it 📚,901,42,253,243,3663,7514,24.29,53621,#bookworm #studying #onlinelearning #universitylife,2025-04-03 18:10:59,image,study,18,Thursday,evening,2797.57,-82.46,-92.09,disciplined studying grateful bookworm onlinelearning
My thorough studying journey continues ✏️,1783,88,690,515,17462,29224,5.22,22122,#studygoals #study #studyhard #onlinelearning,2025-04-17 21:00:16,carousel,study,21,Thursday,evening,7147.82,-65.28,-62.27,thorough studying journey continues studygoals study
The immersive studying game is long and i am in ✏️,1957,207,424,459,27016,76542,14.75,62810,#collegelife #universitylife #studyaccount #education,2025-02-26 00:37:04,image,study,0,Wednesday,night,8253.06,-61.89,-41.62,immersive studying game long collegelife universitylife
Structured studying and zero regrets ✏️,5981,583,1143,1638,48141,158354,26.44,31007,#studygram #examprep #researchlife #universitylife,2025-09-02 02:14:01,image,study,2,Tuesday,night,21481.67,16.46,4.02,structured studying zero regrets studygram examprep
My productive studying era has officially begun 🎓,2821,384,1138,634,27978,51373,3.55,61581,#bookworm #universitylife #researchlife #lifelonglearner,2025-09-10 03:22:28,reel,study,3,Wednesday,night,11077.09,-45.07,-39.55,productive studying officially begun bookworm universitylife
The methodical power of studying is underrated 📚,650,122,116,97,7897,12951,22.61,32053,#knowledge #studytime #onlinelearning #examseason,2025-11-13 22:39:56,reel,study,22,Thursday,night,2072.38,-87.34,-82.94,methodical power studying underrated knowledge studytime
Immersive studying and i never felt more like myself 📚,2934,342,1500,395,41671,137636,15.36,29730,#studylife #bookworm #examseason #examprep,2025-10-02 20:44:20,image,study,20,Thursday,evening,14831.63,-42.87,-9.96,immersive studying never felt more studylife
Timed studying and i am at peace 🎓,2011,323,290,197,23044,64931,18.21,99999,#studymotivation #studysession #collegelife #universitylife,2025-09-03 03:31:50,reel,study,3,Wednesday,night,6572.129999999999,-60.84,-50.21,timed studying peace studymotivation studysession collegelife
The comprehensive studying obsession continues 📚,488,17,192,79,1675,2989,7.94,99999,#studysession #learningeveryday #studyhard #studymotivation,2025-08-23 12:10:46,reel,study,12,Saturday,afternoon,1474.42,-90.5,-96.38,comprehensive studying obsession continues studysession learningeveryday
The sharp studying life chose me ✏️,4491,323,794,477,15717,27338,27.74,25003,#studywithme #studyaccount #examseason #studentlife,2025-02-18 10:25:11,image,study,10,Tuesday,morning,9909.990000000002,-12.55,-66.04,sharp studying life chose studywithme studyaccount
My systematic studying ritual is non-negotiable ✏️,6729,201,2157,1899,30550,53496,27.58,50191,#examprep #collegelife #studygoals #studysession,2025-06-17 02:56:43,image,study,2,Tuesday,night,22029.38,31.03,-33.99,systematic studying ritual negotiable examprep collegelife
Loving every timed studying second 📚,12662,630,6372,1307,107455,300226,17.72,70493,#studyblr #studygoals #studywithme #learningeveryday,2025-11-07 22:03:51,reel,study,22,Friday,night,50078.53,146.56,132.19,loving every timed studying second studyblr
The sharp studying world is endless 🎓,3772,345,450,583,31171,62281,16.74,41417,#examprep #studytime #studymotivation #studywithme,2025-01-20 23:05:06,image,study,23,Monday,night,10297.98,-26.55,-32.65,sharp studying world endless examprep studytime
Productive studying mornings hit differently ✏️,12121,2252,1299,1229,168025,462361,4.49,39512,#student #studygram #learningeveryday #lifelonglearner,2025-02-12 09:37:20,reel,study,9,Wednesday,morning,41977.08,136.03,263.06,productive studying mornings differently student studygram
This exam-ready studying setup is everything ✏️,555,97,219,106,4563,15394,27.21,17279,#bookworm #studylife #studytips #studygroup,2025-04-01 00:20:54,carousel,study,0,Tuesday,night,2219.9700000000003,-89.19,-90.14,this exam ready studying setup bookworm
The annotated studying chapter of my life 📚,676,67,182,166,4756,8865,3.1,76239,#studysession #studygram #studygoals #knowledge,2025-06-30 08:19:26,carousel,study,8,Monday,morning,2223.75,-86.84,-89.72,annotated studying chapter life studysession studygram
Focused studying and zero compromises 🧠,1927,166,226,117,14868,33830,7.2,32061,#studysession #studyhard #studyblr #academia,2025-09-07 20:18:45,image,study,20,Sunday,evening,4714.3,-62.48,-67.87,focused studying zero compromises studysession studyhard
Chasing pomodoro-powered studying endlessly 📚,1771,267,466,93,5594,18537,8.94,77357,#studysession #examprep #examseason #studyaccount,2025-09-29 17:35:15,carousel,study,17,Monday,evening,4283.81,-65.51,-87.91,chasing pomodoro powered studying endlessly studysession
Chasing deep studying endlessly 📚,6374,1141,3754,1535,71513,176651,19.27,53589,#learning #researchlife #studygoals #studying,2025-10-07 22:37:19,reel,study,22,Tuesday,night,31116.18,24.12,54.52,chasing deep studying endlessly learning researchlife
Sharp studying is my non-negotiable ✏️,1451,132,607,161,12786,28150,15.27,39545,#studygroup #education #academia #studysession,2025-11-12 12:24:24,image,study,12,Wednesday,afternoon,5238.8,-71.75,-72.37,sharp studying negotiable studygroup education academia
Immersive studying has changed how i see things 🧠,2543,105,949,281,32230,108600,8.31,29969,#studyblr #studylife #academia #knowledge,2025-08-09 12:03:13,image,study,12,Saturday,afternoon,11102.5,-50.48,-30.36,immersive studying changed things studyblr studylife
Every methodical studying day is a gift 🎓,2610,243,489,628,13073,25764,13.61,29122,#studying #examseason #collegelife #studyblr,2025-02-18 15:27:25,reel,study,15,Tuesday,afternoon,7387.57,-49.18,-71.75,every methodical studying gift examseason collegelife
The efficient art of studying never gets old 📚,4623,723,1799,407,29077,92818,22.16,63767,#universitylife #lifelonglearner #bookworm #studygram,2025-12-06 11:28:40,reel,study,11,Saturday,morning,15479.39,-9.98,-37.17,efficient studying never gets universitylife lifelonglearner
Comprehensive studying is what i choose every time 🧠,11391,233,6018,2030,52495,135200,2.33,56571,#studytime #onlinelearning #studyaccount #studygoals,2025-09-21 03:23:55,reel,study,3,Sunday,night,42215.75,121.81,13.43,comprehensive studying what choose every studytime
Consistent studying taught me what discipline means ✏️,3922,408,819,1034,17848,43272,18.47,30956,#collegelife #studymotivation #studygram #examprep,2025-05-07 06:46:29,carousel,study,6,Wednesday,morning,11671.56,-23.63,-61.43,consistent studying taught what discipline collegelife
Efficient studying mornings hit differently ✏️,2815,498,911,410,26375,56443,18.49,27934,#studygroup #studybreak #studying #education,2025-02-18 16:51:18,reel,study,16,Tuesday,afternoon,9790.04,-45.18,-43.01,efficient studying mornings differently studygroup studybreak
Deep in sharp studying thoughts 📚,385,27,137,77,3151,6927,28.88,42368,#onlinelearning #bookworm #learningeveryday #studyaccount,2025-09-09 07:42:00,carousel,study,7,Tuesday,morning,1392.36,-92.5,-93.19,deep sharp studying thoughts onlinelearning bookworm
Laser-focused studying has changed how i see things 🧠,1628,189,542,141,8181,18292,10.23,68616,#studylife #studyaccount #studywithme #learning,2025-04-29 02:33:09,image,study,2,Tuesday,night,4634.81,-68.3,-82.32,laser focused studying changed things studylife
Comprehensive studying mornings hit differently ✏️,940,121,141,147,8154,25439,27.67,99999,#studysession #studentlife #researchlife #collegelife,2025-09-17 03:21:49,reel,study,3,Wednesday,night,2974.87,-81.7,-82.38,comprehensive studying mornings differently studysession studentlife
The laser-focused studying version of me shows up daily 🎓,1675,36,315,291,19639,41676,12.82,47161,#studyaccount #studywithme #study #studysession,2025-01-03 13:20:25,image,study,13,Friday,afternoon,5725.23,-67.38,-57.56,laser focused studying version shows studyaccount
The consistent discipline of studying pays off 🎓,1509,107,830,253,17803,29793,26.1,75192,#onlinelearning #studyblr #studyhard #universitylife,2025-06-20 02:07:31,carousel,study,2,Friday,night,6541.9400000000005,-70.62,-61.53,consistent discipline studying pays onlinelearning studyblr
The annotated studying mindset i developed slowly ✏️,2306,154,1353,360,19639,49662,14.75,28606,#collegelife #studymotivation #learningeveryday #studyhard,2025-04-13 12:58:59,reel,study,12,Sunday,afternoon,9916.81,-55.1,-57.56,annotated studying mindset developed slowly collegelife
Methodical studying and zero regrets ✏️,330,20,194,63,3131,10324,23.39,67215,#bookworm #examseason #studygoals #studying,2025-10-31 14:58:50,carousel,study,14,Friday,afternoon,1567.27,-93.57,-93.23,methodical studying zero regrets bookworm examseason
The thorough magic of studying every time 📚,6501,1019,1903,1574,50837,80013,10.63,59189,#studytime #universitylife #academia #student,2025-11-13 23:55:07,reel,study,23,Thursday,night,21874.24,26.59,9.85,thorough magic studying every time studytime
Found structured studying and never looked back 📚,2302,294,1215,337,31516,97309,21.43,41127,#universitylife #studying #studybreak #study,2025-03-12 16:21:07,reel,study,16,Wednesday,afternoon,11453.07,-55.17,-31.9,found structured studying never looked universitylife
This ambitious studying phase is my favorite so far 📚,7578,877,3202,2184,88334,296921,14.85,46370,#studyblr #lifelonglearner #learningeveryday #education,2025-03-13 22:16:55,reel,study,22,Thursday,night,37060.33,47.56,90.87,this ambitious studying phase favorite studyblr
Ambitious studying taught me more than school 🎓,11492,1221,6239,2757,153277,400370,4.83,46421,#studyhard #studygroup #bookworm #studysession,2025-08-26 08:51:47,reel,study,8,Tuesday,morning,58154.95,123.78,231.2,ambitious studying taught more than studyhard
Systematic studying and the rest falls into place 🧠,2534,250,1279,454,23562,72525,27.3,60112,#studentlife #student #studyaccount #bookworm,2025-08-06 03:28:41,carousel,study,3,Wednesday,night,11086.85,-50.66,-49.09,systematic studying rest falls into studentlife
Annotated studying gave me back my confidence 📚,15836,435,6462,932,66417,197406,26.77,93639,#universitylife #academia #researchlife #studymotivation,2025-03-13 09:50:45,carousel,study,9,Thursday,morning,47261.03,208.37,43.51,annotated studying gave back confidence universitylife
The comprehensive studying season of my life 📚,2813,453,762,429,22668,70882,29.95,39912,#education #studyaccount #learningeveryday #studentlife,2025-05-27 23:35:06,carousel,study,23,Tuesday,night,9645.86,-45.22,-51.02,comprehensive studying season life education studyaccount
Disciplined studying adventures never disappoint 🎓,699,80,352,196,3049,10048,15.26,71728,#education #study #studybreak #examseason,2025-12-20 10:06:33,carousel,study,10,Saturday,morning,2796.8900000000003,-86.39,-93.41,disciplined studying adventures never disappoint education
Focused studying is the constant in my chaos 📚,350,41,162,62,1564,2978,20.21,99999,#studyaccount #academia #studyhard #studybreak,2025-06-28 17:42:25,carousel,study,17,Saturday,evening,1189.54,-93.18,-96.62,focused studying constant chaos studyaccount academia
The active studying ritual i will never skip 🎓,8198,1368,2964,2363,24714,78263,7.82,32523,#studygoals #studyblr #studygroup #studywithme,2025-11-02 08:38:41,image,study,8,Sunday,morning,27762.59,59.64,-46.6,active studying ritual will never studygoals
The timed studying obsession continues 📚,13056,608,7115,2497,39742,126367,3.76,66270,#studygroup #studylife #student #study,2025-08-27 02:25:04,carousel,study,2,Wednesday,night,47670.11,154.23,-14.13,timed studying obsession continues studygroup studylife
The structured power of studying is underrated 📚,5225,169,2681,962,67202,207008,18.48,42327,#studymotivation #bookworm #studyaccount #studywithme,2025-05-24 13:22:07,reel,study,13,Saturday,afternoon,25724.34,1.74,45.21,structured power studying underrated studymotivation bookworm
A serious studying day is a good day 📚,5785,477,1301,1112,28790,79857,12.01,22488,#studyaccount #studyhard #student #studybreak,2025-02-02 14:33:01,image,study,14,Sunday,afternoon,16859.21,12.65,-37.79,serious studying good studyaccount studyhard student
Evidence-based studying and the rest falls into place 🧠,3214,218,443,926,12904,35578,7.0,33727,#studyhard #studytips #studysession #examprep,2025-04-09 07:21:27,image,study,7,Wednesday,morning,9033.54,-37.42,-72.12,evidence based studying rest falls studyhard
Focused studying and the brain fog clears instantly 🎓,2109,259,535,561,6926,14658,16.64,33560,#studentlife #lifelonglearner #student #studywithme,2025-01-29 14:17:27,carousel,study,14,Wednesday,afternoon,6183.04,-58.93,-85.03,focused studying brain clears instantly studentlife
My ambitious studying ritual is non-negotiable ✏️,1386,224,548,90,7165,14599,3.61,99572,#studyhard #studyaccount #examprep #student,2025-05-20 11:23:03,carousel,study,11,Tuesday,morning,4096.219999999999,-73.01,-84.52,ambitious studying ritual negotiable studyhard studyaccount
Nothing like deliberate studying to reset 🎓,534,40,140,31,6333,18940,13.35,61375,#onlinelearning #studylife #academia #studentlife,2025-08-08 23:44:42,reel,study,23,Friday,night,1931.85,-89.6,-86.32,nothing like deliberate studying reset onlinelearning
Systematic studying is my non-negotiable ✏️,767,21,443,94,2820,8302,5.81,99999,#studywithme #universitylife #bookworm #examseason,2025-06-29 13:23:40,reel,study,13,Sunday,afternoon,2768.06,-85.06,-93.91,systematic studying negotiable studywithme universitylife bookworm
Timed studying is the only therapy i need 🧠,4980,119,741,470,34912,102117,8.43,22638,#collegelife #studygoals #studyhard #studyblr,2025-11-02 05:53:18,carousel,study,5,Sunday,morning,13422.11,-3.03,-24.56,timed studying only therapy need collegelife
My dedicated relationship with studying 📚,4454,587,748,310,27234,58696,27.5,33432,#studytips #knowledge #learningeveryday #researchlife,2025-05-31 22:40:33,image,study,22,Saturday,night,10750.58,-13.27,-41.15,dedicated relationship with studying studytips knowledge
The disciplined studying process is as good as the result 🧠,3913,609,1758,459,40913,77105,9.47,23608,#student #learning #studying #studygram,2025-03-21 17:31:18,image,study,17,Friday,evening,14922.8,-23.8,-11.6,disciplined studying process good result student
The focused studying way of life fits perfectly 🎓,13057,625,7752,1401,87854,211931,9.59,16340,#learning #studymotivation #studywithme #studygram,2025-02-20 16:13:52,carousel,study,16,Thursday,afternoon,51266.630000000005,154.25,89.83,focused studying life fits perfectly learning
Timed studying and i cannot be stopped 🧠,1131,71,613,120,14569,31772,12.09,27035,#studylife #learning #academia #examseason,2025-06-26 00:48:10,carousel,study,0,Thursday,night,5011.610000000001,-77.98,-68.52,timed studying cannot stopped studylife learning
The driven studying ritual i will never skip 🎓,4698,250,2002,1083,55889,121532,15.0,37388,#learning #examseason #studysession #studywithme,2025-07-14 16:39:39,image,study,16,Monday,afternoon,20393.41,-8.52,20.76,driven studying ritual will never learning
Chasing focused studying endlessly 📚,2389,432,1364,353,13527,23017,7.5,34446,#examprep #studywithme #studytips #studymotivation,2025-10-13 05:08:04,carousel,study,5,Monday,morning,8906.86,-53.48,-70.77,chasing focused studying endlessly examprep studywithme
Organized studying has changed how i see things 🧠,577,95,135,77,8155,22974,17.68,43230,#studygoals #lifelonglearner #universitylife #studybreak,2025-09-27 08:55:33,image,study,8,Saturday,morning,2309.9700000000003,-88.76,-82.38,organized studying changed things studygoals lifelonglearner
Deep studying energy today and every day 🧠,624,29,343,143,5991,20375,8.1,17896,#studytime #lifelonglearner #education #study,2025-03-22 08:21:04,image,study,8,Saturday,morning,2992.8,-87.85,-87.05,deep studying energy today every studytime
The dedicated studying focus today was different 🧠,6317,260,3413,955,59911,124880,11.66,24797,#studygoals #studying #examprep #student,2025-01-09 09:35:49,carousel,study,9,Thursday,morning,26162.95,23.01,29.45,dedicated studying focus today different studygoals
The deep studying path was right for me 🧠,17129,1037,2871,2031,175091,577360,8.08,99999,#studyaccount #learning #studygoals #study,2025-05-16 00:25:22,reel,study,0,Friday,night,57910.350000000006,233.54,278.33,deep studying path right studyaccount learning
The organized studying chapter of my life 📚,8628,918,4283,2225,68189,229697,29.08,26247,#studying #universitylife #academia #lifelonglearner,2025-01-31 23:21:41,reel,study,23,Friday,night,38452.36,68.01,47.34,organized studying chapter life universitylife academia
Found strategic studying and never looked back 📚,19776,2281,3631,3102,202153,643363,8.11,13442,#studybreak #education #studysession #researchlife,2025-03-28 08:55:13,carousel,study,8,Friday,morning,69383.54000000001,285.09,336.81,found strategic studying never looked studybreak
The immersive studying way of life fits perfectly 🎓,1033,118,457,136,3333,7927,21.99,77518,#student #learningeveryday #studygram #researchlife,2025-06-09 23:07:50,image,study,23,Monday,night,3216.46,-79.88,-92.8,immersive studying life fits perfectly student
